Vendor,"PC-3000 Utility",Family
Fujitsu,"Fujitsu 2.5 / 3.5 HDD",MHD2xxxAT
Fujitsu,"Fujitsu 2.5 / 3.5 HDD",MHK2xxxAT
Fujitsu,"Fujitsu 2.5 / 3.5 HDD",MHM2xxxAT
Fujitsu,"Fujitsu 2.5 / 3.5 HDD",MHN2xxxAT
Fujitsu,"Fujitsu 2.5 / 3.5 HDD",MHR2xxxAT
Fujitsu,"Fujitsu 2.5 / 3.5 HDD",MHS2xxxAT
Fujitsu,"Fujitsu 2.5 / 3.5 HDD",MHT2xxxAT
Fujitsu,"Fujitsu 2.5 / 3.5 HDD",MHV2xxxAT/AH
Fujitsu,"Fujitsu 2.5 / 3.5 HDD",MHW2xxxBH
Fujitsu,"Fujitsu 2.5 / 3.5 HDD",MHW2xxxBJ
Fujitsu,"Fujitsu 2.5 / 3.5 HDD",MHX2xxxBT
Fujitsu,"Fujitsu 2.5 / 3.5 HDD",MHY2xxxBT/BH
Fujitsu,"Fujitsu 2.5 / 3.5 HDD",MHZ2xxxBT/BH
Fujitsu,"Fujitsu 2.5 / 3.5 HDD",MJA2xxxBH
Fujitsu,"Fujitsu 2.5 / 3.5 HDD",MPA3xxxAT
Fujitsu,"Fujitsu 2.5 / 3.5 HDD",MPB3xxxAT
Fujitsu,"Fujitsu 2.5 / 3.5 HDD",MPC3xxxAT
Fujitsu,"Fujitsu 2.5 / 3.5 HDD",MPD3xxxAT/AH
Fujitsu,"Fujitsu 2.5 / 3.5 HDD",MPE3xxxAT/AE/AH
Fujitsu,"Fujitsu 2.5 / 3.5 HDD",MPF3xxxAH
Fujitsu,"Fujitsu 2.5 / 3.5 HDD",MPF3xxxAT
Fujitsu,"Fujitsu 2.5 / 3.5 HDD",MPG3xxxAT/AH/AHE
"Hitachi / IBM / HGST",HITACHI-IBM-ARM,5410A9
"Hitachi / IBM / HGST",HITACHI-IBM-ARM,5432A7
"Hitachi / IBM / HGST",HITACHI-IBM-ARM,5450A7
"Hitachi / IBM / HGST",HITACHI-IBM-ARM,5475A9
"Hitachi / IBM / HGST",HITACHI-IBM-ARM,5C10CLA3
"Hitachi / IBM / HGST",HITACHI-IBM-ARM,5C30ALA6
"Hitachi / IBM / HGST",HITACHI-IBM-ARM,7210A9
"Hitachi / IBM / HGST",HITACHI-IBM-ARM,7210CLA3
"Hitachi / IBM / HGST",HITACHI-IBM-ARM,7210DLE6
"Hitachi / IBM / HGST",HITACHI-IBM-ARM,7220ALA3
"Hitachi / IBM / HGST",HITACHI-IBM-ARM,7230ALA6
"Hitachi / IBM / HGST",HITACHI-IBM-ARM,7230BLA3
"Hitachi / IBM / HGST",HITACHI-IBM-ARM,7232A7
