Vendor,"PC-3000 Utility",Family
Corsair,"Corsair Nova","Corsair Nova"
Corsair,"Corsair SSD Neutron series","Corsair Neutron Series (common)"
Crucial,"Crucial V4","Crucial V4"
INDILINX,Barefoot,"Corsair Extreme series"
INDILINX,Barefoot,"Crucial M225"
INDILINX,Barefoot,"OCZ Solid 2"
INDILINX,Barefoot,"OCZ Vertex"
INDILINX,Barefoot,"OCZ Vertex Plus"
INTEL,Postville,"Intel 320 series"
INTEL,Postville,"Intel 710 series"
INTEL,Postville,"Intel X18"
INTEL,Postville,"Intel X25"
JMicron(Toshiba),"JMicron based SSD","Kingston SSDNow V100"
Marvell,"Van Gogh 2","Intel 510 series"
Marvell,"Van Gogh 2","Plextor M3"
Marvell,"Van Gogh 2","Plextor M3 Pro"
Marvell,"Van Gogh 2","Plextor M5 Pro"
Marvell,"Van Gogh 2","Plextor M5 Pro Extreme"
Marvell,"Van Gogh 2","Plextor M5S"
Marvell,"Van Gogh","Crucial C300"
Marvell,"Van Gogh","Crucial M4"
Marvell,"Van Gogh","Crucial M500"
Marvell,"Van Gogh","Crucial M550"
Marvell,"Van Gogh","Crucial MX100"
Marvell,"Van Gogh","Crucial MX200"
Marvell,"Van Gogh","Micron C300"
Marvell,"Van Gogh","Micron C400"
OCZ,"Barefoot 3","AMD Radeon R7 series"
OCZ,"Barefoot 3","Arc 100 series"
OCZ,"Barefoot 3","Vector 150 series"
OCZ,"Barefoot 3","Vector 180 series"
OCZ,"Barefoot 3","Vector series"
OCZ,"Barefoot 3","Vertex 450 series"
OCZ,"Barefoot 3","Vertex 460 series"
OCZ,"Barefoot 3","Vertex 460A series"
Samsung,"Samsung SSD","Samsung 470 series"
Samsung,"Samsung SSD","Samsung 830 series"
Samsung,"Samsung SSD","Samsung 840 EVO series"
Samsung,"Samsung SSD","Samsung 840 series"
Samsung,"Samsung SSD","Samsung 850 series"
Samsung,"Samsung SSD","Samsung CM871 series"
Samsung,"Samsung SSD","Samsung MLC SSD"
Seagate,"Seagate SSD 600 series","600 Series (common)"
